Client_ID,Sector,Region,Project_Type,Subscription_Type,Contract_Value,Monthly_Revenue,Total_Revenue,Employee_Hours,Hourly_Rate,Operational_Cost,Support_Tickets,Escalations,Client_Tenure_Months,Satisfaction_Score,Renewal_Status,Discount_Offered,Payment_Delay_Days,Resource_Count,Project_Duration_Days
73,Manufacturing,East,Consulting,Premium,298933,41584,287909,77,1385,112364,38,6,40,3.24,No,17,86,7,360
74,Healthcare,North,Implementation,Premium,330343,34894,566995,163,1048,174244,46,5,32,3.13,Yes,29,3,4,330
75,Manufacturing,West,Support,Premium,86609,5717,148302,11,1865,74340,0,3,24,2.61,No,14,66,5,298
76,Healthcare,South,Support,Basic,224037,16676,587409,151,1338,97236,26,0,28,1.65,Yes,13,84,5,184
77,Retail,East,Implementation,Standard,189088,9434,143793,117,1930,21017,26,8,14,1.47,No,23,52,5,304
78,Finance,West,Implementation,Standard,482995,42825,347635,39,1948,46613,10,3,45,4.04,Yes,24,1,2,183
79,Finance,North,Support,Standard,344025,34100,588036,58,1616,40348,48,1,3,4.71,Yes,18,67,5,82
80,Finance,South,Consulting,Basic,263666,9994,176547,149,1347,157520,4,7,36,2.83,No,29,64,3,208
81,Manufacturing,West,Support,Basic,336616,9234,104331,53,1113,19491,6,1,27,3.64,Yes,18,78,4,269
82,Retail,South,Implementation,Standard,232885,8764,457891,170,911,131070,18,4,20,4.66,Yes,21,56,2,166
83,Manufacturing,South,Support,Basic,281440,48949,560201,22,931,68759,28,5,47,1.36,Yes,26,69,4,284
84,Manufacturing,South,Implementation,Standard,307803,42405,562237,87,1177,185625,14,7,15,4.08,Yes,25,6,9,253
85,Retail,East,Implementation,Basic,217093,39872,70068,135,658,142040,34,0,27,3.47,Yes,16,18,8,209
86,Retail,East,Consulting,Premium,366275,47215,348350,107,513,10368,46,0,53,3.39,No,21,43,3,211
87,Retail,North,Implementation,Premium,205159,28185,82337,35,872,45010,36,3,45,2.17,No,27,62,1,288
88,Retail,North,Implementation,Standard,62828,48442,211738,158,724,195226,11,4,41,3.74,Yes,18,64,1,272
89,Finance,West,Consulting,Basic,408808,46153,307667,165,1596,45851,29,8,28,4.18,No,26,38,6,125
90,IT,North,Implementation,Basic,182473,16999,574241,57,1772,132761,19,6,25,1.45,Yes,15,82,3,226
91,IT,South,Consulting,Premium,327337,41487,412215,177,1010,166568,36,6,42,3.13,No,19,25,4,43
92,Retail,South,Consulting,Premium,273461,7581,158064,75,1102,137152,2,7,44,1.41,Yes,24,43,1,149
93,IT,East,Implementation,Basic,488080,7763,428655,96,715,172008,8,4,46,4.49,Yes,18,11,8,298
94,IT,South,Implementation,Basic,463523,32374,542605,88,1487,88858,40,4,33,3.03,Yes,0,21,1,200
95,Retail,West,Support,Basic,414662,43759,467974,32,1743,77005,38,0,46,4.23,Yes,18,76,5,101
96,IT,South,Consulting,Basic,331755,15531,518996,90,1339,47493,25,8,14,2.47,No,6,13,6,208
97,Manufacturing,South,Support,Basic,224863,30307,587466,57,1226,177462,1,5,8,1.5,No,28,85,2,199
98,Healthcare,West,Implementation,Basic,455166,35835,193248,133,1744,20292,22,8,48,1.17,No,22,29,7,188
99,Healthcare,North,Support,Standard,388384,16064,163306,139,1912,102377,22,2,14,2.13,Yes,10,43,7,183
100,Retail,North,Consulting,Basic,289719,16312,224726,93,1053,169437,20,4,1,1.98,No,4,83,1,111
101,Finance,West,Support,Premium,258475,42548,434169,29,1565,158279,15,1,16,3.24,No,29,37,4,86
102,Retail,East,Consulting,Standard,314889,41945,150417,196,1175,111735,8,9,18,1.09,Yes,16,58,4,36
103,Finance,South,Implementation,Basic,367387,11476,488638,55,1372,32912,12,4,7,3.08,Yes,10,41,5,141
104,Healthcare,West,Implementation,Premium,316010,29565,71984,140,782,90771,27,7,15,2.57,Yes,23,51,1,77
105,Retail,South,Consulting,Standard,213317,7382,149312,192,1581,197644,26,1,24,3.31,No,25,62,1,109
106,Manufacturing,East,Implementation,Premium,487940,27463,252458,21,1333,117293,16,7,49,3.81,No,7,60,7,345
107,IT,South,Implementation,Basic,440825,38402,143291,49,1036,109083,37,3,51,3.54,Yes,9,33,9,62
108,Finance,West,Implementation,Basic,121354,31345,584608,75,1596,123655,35,9,55,4.94,No,11,38,1,144
109,IT,South,Implementation,Basic,101374,49764,547387,109,1422,160348,0,9,13,1.55,Yes,9,40,2,32
110,IT,North,Consulting,Basic,164397,31946,475105,87,1652,107459,17,0,9,2.72,No,12,36,6,33
111,Retail,East,Support,Standard,298552,19162,420215,25,1341,146606,8,4,56,2.7,Yes,25,64,6,289
112,IT,East,Support,Standard,436721,13397,315083,92,1949,176742,12,0,56,2.67,No,17,78,2,71
113,Manufacturing,East,Implementation,Premium,473332,27335,101777,171,1447,121695,39,6,15,3.66,No,9,31,9,38
114,IT,West,Support,Basic,393173,19394,106250,53,1164,177558,44,7,57,2.96,No,18,7,4,336
115,Retail,East,Support,Premium,405718,32197,362274,143,1648,44268,14,2,58,3.07,Yes,19,17,7,174
116,Manufacturing,North,Implementation,Standard,463663,27010,535147,109,566,117338,42,2,35,2.73,Yes,16,44,6,126
117,Healthcare,West,Implementation,Basic,342575,29123,75216,31,505,36336,43,6,24,4.97,Yes,19,32,3,305
118,IT,North,Support,Basic,461124,27387,406293,27,1136,13641,45,3,33,4.71,No,15,4,8,171
119,Retail,South,Consulting,Standard,79336,7890,587297,21,813,97132,3,2,16,2.23,Yes,4,81,7,307
120,Healthcare,South,Implementation,Standard,353136,32769,205281,189,1849,42959,32,7,8,1.45,No,2,73,9,56
121,Healthcare,South,Consulting,Standard,105350,48626,599317,132,1064,154378,23,2,29,4.36,Yes,29,35,3,72
122,Finance,South,Support,Standard,119561,13026,520829,126,1325,187254,35,6,23,4.99,Yes,26,22,1,160
123,Manufacturing,North,Implementation,Standard,364099,8306,248069,60,1005,84123,40,1,45,2.17,No,14,39,2,245
124,IT,West,Consulting,Basic,111240,38665,424315,80,1605,197398,9,0,31,2.43,No,25,4,1,123
125,Retail,West,Implementation,Standard,201165,14277,174456,57,1525,31498,35,5,40,4.77,Yes,1,33,5,37
126,Finance,East,Support,Basic,449371,47239,384703,28,703,80198,19,7,49,3.84,Yes,12,23,2,115
127,Manufacturing,North,Consulting,Basic,96607,19683,442688,15,1161,37197,40,0,54,2.18,No,21,16,3,167
128,Finance,South,Support,Standard,476703,5670,429484,93,1304,161791,44,9,55,3.32,No,7,70,8,275
129,Manufacturing,North,Support,Standard,236740,28675,93783,164,903,118775,43,8,14,4.78,Yes,22,80,5,50
130,Manufacturing,East,Implementation,Basic,464179,22889,94152,62,1626,35032,10,2,59,4.25,No,26,21,4,294
131,IT,East,Consulting,Standard,231196,49535,504718,116,1035,69624,11,2,53,3.97,Yes,29,14,5,177
132,Manufacturing,North,Support,Standard,365014,18006,208725,110,1891,88177,17,3,30,3.95,Yes,16,14,6,213
133,Finance,North,Support,Standard,499763,31531,551215,57,1735,51964,29,0,53,1.71,Yes,3,24,7,256
134,Manufacturing,North,Consulting,Premium,114110,26639,231541,144,1076,171100,43,8,39,4.3,No,18,52,9,321
135,IT,West,Support,Basic,234626,21633,408627,196,1732,121030,47,2,27,2.1,Yes,21,20,1,65
136,IT,South,Support,Premium,202008,39660,381898,78,1262,64646,36,9,47,4.72,Yes,24,65,4,275
137,Finance,North,Consulting,Standard,429039,8439,147592,20,616,91187,19,3,16,2.46,No,8,31,9,102
138,Healthcare,North,Consulting,Premium,54426,37172,416687,152,1127,149608,24,0,51,4.43,No,22,20,5,179
139,Healthcare,North,Consulting,Standard,269911,40622,103169,140,1248,127399,11,3,6,2.06,No,14,67,8,30
140,Manufacturing,East,Consulting,Premium,339750,16577,501503,131,604,66747,20,0,55,3.06,Yes,27,43,1,98
141,Retail,East,Implementation,Standard,491048,16763,114745,78,994,55712,24,4,33,1.43,No,8,82,4,322
142,Manufacturing,West,Consulting,Premium,78151,25176,81067,32,545,147345,10,4,44,3.64,No,23,65,9,259
143,Finance,South,Implementation,Premium,323452,49386,111033,190,1322,81820,8,6,18,4.34,Yes,20,89,1,240
144,Finance,West,Implementation,Premium,290853,29255,105256,46,1854,135342,49,7,16,3.87,Yes,8,13,1,101
145,Finance,South,Implementation,Basic,304595,46003,299455,18,1739,101228,24,3,12,3.09,Yes,13,14,4,125
146,Finance,East,Support,Premium,226743,24996,562264,24,1481,84353,34,6,20,1.18,Yes,22,19,3,113
147,Finance,East,Implementation,Basic,140306,40386,260417,140,1459,102091,31,3,45,4.73,No,20,33,7,257
148,IT,East,Implementation,Standard,275180,26062,146803,102,1344,95914,48,2,40,3.82,Yes,15,35,3,328
149,Healthcare,West,Support,Premium,419128,40931,263814,26,948,191902,13,5,59,3.98,No,23,82,1,265
150,Finance,North,Support,Standard,52204,40710,178843,163,1035,116718,0,3,29,4.18,Yes,22,8,2,322
151,Retail,North,Support,Standard,142769,39693,539809,158,1010,158199,16,2,30,3.99,Yes,24,70,4,251
152,Retail,East,Consulting,Premium,137265,40740,272603,81,1981,21539,24,8,26,2.76,No,25,29,1,252
153,Retail,North,Support,Basic,343275,16705,432119,158,1039,187833,7,4,22,3.93,No,16,76,1,310
154,Retail,North,Support,Premium,102428,48408,204282,130,515,56219,4,6,33,3.5,No,12,62,8,250
155,IT,West,Implementation,Standard,83870,33047,536545,20,742,155764,4,5,58,4.42,Yes,8,34,7,245
156,Retail,South,Support,Standard,153547,15966,86270,175,1730,23334,40,9,53,4.21,Yes,14,12,8,260
157,Finance,East,Consulting,Premium,285990,22374,515224,81,1411,169687,34,4,39,1.17,No,6,78,4,198
158,Manufacturing,East,Support,Basic,99067,16138,591740,115,1794,17903,18,6,47,2.52,No,0,45,6,358
159,Retail,West,Consulting,Basic,288083,20935,363630,134,1260,169599,22,5,29,1.14,Yes,0,55,3,71
160,IT,West,Support,Standard,162217,5489,74859,44,1204,156701,8,9,22,1.41,No,4,8,8,287
161,IT,North,Support,Standard,464823,49516,171462,128,614,68008,29,1,45,3.41,No,23,86,4,225
162,Retail,East,Support,Basic,468184,27260,207735,23,1822,109318,49,2,13,4.5,Yes,8,35,3,125
163,Manufacturing,South,Support,Premium,148934,31069,309737,23,896,167780,15,1,9,1.48,No,11,2,4,346
164,Retail,West,Consulting,Standard,192980,24275,341197,19,893,151932,32,2,24,2.8,Yes,5,18,6,43
165,IT,South,Consulting,Basic,469639,41284,202157,149,1598,158510,1,0,15,4.64,Yes,27,27,7,142
166,Healthcare,South,Implementation,Standard,386851,44178,411889,47,1477,77300,13,7,36,4.26,Yes,12,22,7,106
167,Finance,East,Consulting,Premium,259329,37821,250167,117,1626,139263,45,5,13,3.08,No,25,6,4,306
168,IT,East,Support,Basic,307354,21999,196319,128,796,30842,0,1,27,4.09,No,27,75,8,349
169,Retail,West,Implementation,Standard,111215,43712,474027,43,1501,52372,25,7,44,3.09,No,7,13,7,189
170,Finance,East,Implementation,Premium,236907,45172,286453,178,677,124316,24,5,37,1.63,No,14,45,2,342
171,Retail,East,Implementation,Standard,361573,38722,196645,19,1738,108971,15,6,7,1.5,Yes,5,14,8,148
172,Retail,East,Support,Premium,394296,15625,572035,131,1466,48744,14,0,8,1.75,Yes,26,66,9,190
173,Healthcare,South,Consulting,Premium,158048,6629,198261,154,814,126082,25,6,37,2.4,No,5,14,5,337
174,Finance,West,Support,Basic,219530,15973,402221,154,1562,67442,46,2,41,4.72,No,3,50,4,175
175,Finance,North,Implementation,Premium,227241,11859,496862,199,758,139070,43,7,14,4.2,No,10,87,4,192
176,Healthcare,South,Support,Standard,188731,46609,398767,124,506,95990,15,5,58,2.73,No,20,7,4,208
177,IT,East,Support,Premium,289977,48307,191004,10,548,131670,13,3,12,2.97,Yes,29,68,6,118
178,Retail,South,Consulting,Premium,389384,41046,565187,21,660,116917,28,7,36,2.06,No,17,61,4,252
179,Manufacturing,East,Consulting,Basic,476009,26839,113687,112,675,13650,23,8,52,3.82,Yes,2,50,7,295
180,Retail,East,Implementation,Premium,163688,32216,167615,13,1525,55117,46,9,40,4.21,No,2,62,7,268
181,Retail,South,Support,Premium,358617,23945,453120,179,1500,101244,14,1,17,1.96,No,29,67,5,337
182,IT,West,Support,Standard,408906,11539,591985,150,954,193844,18,5,40,1.17,No,11,77,5,63
183,Retail,East,Consulting,Basic,270460,38625,593903,107,775,13190,7,4,53,3.5,Yes,26,15,8,196
184,Healthcare,West,Support,Basic,419100,9886,566554,115,997,58113,33,4,29,3.25,No,20,83,7,154
185,Healthcare,North,Support,Basic,430596,12485,442706,94,1175,149861,1,9,27,2.61,Yes,29,23,7,253
186,Finance,East,Support,Premium,236823,36455,138533,130,1551,42125,26,2,1,3.58,Yes,20,5,6,179
187,Manufacturing,West,Consulting,Basic,438455,21767,300011,141,1856,140000,9,7,52,3.2,No,5,56,7,218
188,Retail,West,Implementation,Premium,259987,33453,249327,91,1524,158531,34,7,34,2,Yes,20,30,7,72
189,Retail,North,Implementation,Premium,497470,15744,565168,28,1711,176490,22,4,4,2.59,Yes,27,5,2,58
190,IT,West,Support,Standard,319150,42102,132684,139,555,121904,48,7,24,2.71,Yes,5,78,2,149
191,Healthcare,West,Implementation,Standard,299243,17226,510134,21,1046,188157,7,9,21,4.52,No,7,28,7,60
192,Manufacturing,North,Consulting,Standard,124218,32869,276621,90,1635,28768,27,7,33,4.84,Yes,14,66,7,210
193,Finance,East,Consulting,Standard,246416,27588,295295,83,1833,191033,22,2,7,4.57,Yes,17,74,7,191
194,Healthcare,West,Implementation,Standard,477056,18440,213466,107,535,91099,3,1,1,3.88,No,19,2,5,157
195,Finance,West,Implementation,Premium,82430,36709,294318,15,938,168957,13,8,41,3.34,No,28,27,1,284
196,IT,West,Support,Premium,73091,27495,432778,145,1094,97421,41,1,3,3.76,Yes,15,73,2,323
197,IT,South,Implementation,Basic,307125,42019,191936,134,1848,16895,28,8,44,4.76,Yes,5,47,9,283
198,Retail,North,Support,Premium,476199,49948,432818,60,806,191383,0,3,51,2,Yes,27,79,8,159
199,Manufacturing,South,Support,Premium,73989,5922,163533,20,1118,81017,3,1,15,3.14,Yes,20,9,8,41
200,Finance,North,Consulting,Standard,125451,32526,307997,194,1632,33932,31,9,31,3.76,No,16,32,1,64
201,Healthcare,East,Consulting,Premium,68990,12957,129590,136,1895,31360,32,0,54,3.72,No,8,66,6,227
202,IT,East,Consulting,Standard,402414,38998,449919,149,856,64847,48,3,16,2.01,Yes,18,68,9,277
203,Retail,West,Consulting,Basic,392504,48395,388615,82,680,100365,25,8,10,3.35,No,17,11,8,139
204,Retail,North,Implementation,Basic,300541,29031,563692,11,1879,95468,16,8,54,4.18,Yes,24,56,3,357
205,Finance,East,Consulting,Premium,348225,15006,541530,17,567,48931,38,3,29,2.9,No,22,43,4,274
206,IT,North,Implementation,Basic,192105,42701,575795,148,791,65823,22,8,59,4.17,No,4,12,3,279
207,Manufacturing,East,Consulting,Premium,420416,30939,365442,133,1191,48032,31,5,59,2.44,Yes,27,23,6,346
208,IT,South,Implementation,Basic,328385,25324,516324,62,680,28807,14,0,6,4.76,Yes,5,43,9,192
209,Finance,East,Support,Standard,174932,27867,304936,19,1989,152839,12,9,29,3.14,Yes,11,56,8,77
210,Finance,South,Implementation,Standard,318083,5203,469925,121,933,149143,1,5,17,3.38,Yes,10,15,4,100
211,IT,East,Implementation,Standard,163000,21544,69726,17,1987,63413,18,8,53,1.13,No,15,20,2,163
212,Finance,West,Consulting,Standard,228634,20899,251896,45,1413,167221,23,1,22,1.68,No,19,75,8,268
213,IT,South,Implementation,Premium,85063,34063,100542,115,565,25540,44,5,24,3.53,Yes,16,50,8,97
214,Healthcare,East,Support,Basic,257793,30344,473461,23,1544,80248,23,1,17,2.68,No,19,20,6,307
215,IT,West,Support,Premium,208117,8748,94753,191,883,120494,10,3,21,3.03,No,8,59,8,61
216,IT,South,Consulting,Standard,487985,44486,343460,95,538,95435,21,7,51,1.25,Yes,0,50,9,152
217,Finance,West,Support,Premium,359262,6093,293979,158,1808,29787,14,6,50,4.34,Yes,25,20,1,51
218,Finance,North,Implementation,Basic,134703,20228,338104,59,1321,30982,9,8,11,4.14,No,2,5,9,184
219,Retail,North,Support,Premium,464841,25884,90791,176,1101,32606,40,6,56,1.74,Yes,20,72,2,139
220,Retail,South,Consulting,Basic,285796,30183,347360,29,1284,151222,26,0,7,3.54,Yes,22,64,1,300
221,Healthcare,East,Implementation,Premium,178557,21034,386571,96,1859,122223,8,1,42,4.27,No,8,75,8,329
222,Retail,South,Consulting,Basic,339220,10710,195150,144,1711,56936,27,5,39,3.56,No,21,57,8,144
223,IT,West,Implementation,Basic,303317,47500,110519,146,1170,103286,0,6,5,2.24,Yes,18,77,4,249
224,Finance,East,Support,Standard,245877,24259,74389,138,1766,149665,16,2,44,3.62,No,12,5,8,259
225,Retail,North,Consulting,Basic,356749,40959,418105,163,1596,158430,30,8,48,1.84,Yes,22,64,7,281
226,Retail,East,Consulting,Standard,396709,38457,217753,175,978,47381,43,6,57,2.27,Yes,13,85,2,278
227,Healthcare,North,Implementation,Standard,351265,25143,403150,47,1060,131465,9,5,21,1.96,No,19,33,5,38
228,Healthcare,East,Consulting,Standard,343577,7103,557488,198,600,38074,36,5,18,3.23,No,18,55,4,63
229,IT,East,Implementation,Premium,93309,5365,154913,53,1013,161667,28,0,35,1.43,Yes,29,74,3,257
230,Finance,East,Implementation,Premium,379612,49535,329637,95,675,54194,17,4,20,4.73,Yes,22,2,1,102
231,Healthcare,West,Implementation,Premium,487470,21103,129639,53,737,190449,46,9,15,2.33,Yes,26,41,5,330
232,Retail,West,Implementation,Premium,379437,37510,291452,83,1409,36853,37,2,5,1.88,No,26,61,8,241
233,Finance,South,Support,Basic,408402,29476,376527,128,1582,83719,38,6,13,2.99,Yes,6,5,9,101
234,Finance,South,Implementation,Basic,481069,17742,369378,199,1622,161733,48,9,51,2.11,No,3,5,7,87
235,Retail,North,Consulting,Premium,350549,17391,546084,131,1370,191565,5,2,12,3.14,Yes,11,62,1,249
236,Healthcare,West,Support,Basic,93527,41940,589882,143,994,128724,39,4,55,2.39,No,22,19,1,304
237,Retail,North,Consulting,Basic,389371,33901,329515,154,1446,177567,11,6,21,1.53,Yes,26,20,1,278
238,Finance,South,Support,Standard,443708,37001,292520,60,1254,23703,13,2,37,2.06,No,13,1,2,45
239,Manufacturing,North,Implementation,Standard,274490,20623,303459,47,1820,194152,43,9,6,2.75,Yes,1,89,1,104
240,Manufacturing,South,Support,Standard,189883,7378,297330,161,710,171887,9,1,7,1.12,Yes,0,89,4,135
241,IT,West,Support,Standard,143344,26372,165573,60,1646,170637,19,5,26,4.08,Yes,27,55,9,165
242,Retail,East,Consulting,Basic,205344,49799,197900,19,1752,127491,14,7,42,3.49,Yes,17,9,4,103
243,Retail,West,Consulting,Premium,273564,43437,379658,129,1911,68453,30,3,48,3.41,No,19,86,4,283
244,IT,North,Implementation,Basic,97153,40503,560364,158,639,98478,6,8,8,3.18,No,7,69,7,47
245,IT,North,Support,Basic,158042,35746,565740,79,1040,43161,40,7,9,3.36,No,2,22,9,72
246,IT,West,Support,Basic,104110,32923,295707,94,1914,197063,9,6,27,4.74,No,25,29,7,79
247,Finance,West,Support,Standard,195051,14867,564917,66,769,124296,9,6,4,1.03,No,5,77,1,32
248,Retail,South,Implementation,Standard,291131,46258,537294,135,1535,150788,47,2,21,1.19,Yes,21,36,1,261
249,Finance,North,Implementation,Standard,289173,38724,583116,48,1912,43349,38,5,31,1.77,No,12,54,4,248
250,IT,North,Implementation,Premium,78328,14306,514485,42,1860,57098,27,4,21,1.67,No,8,48,4,88
